"Energiedragers","Perioden","Energieaanbod/Winning (PJ)","Energieaanbod/Invoer (PJ)","Energieaanbod/Uitvoer (PJ)","Energieaanbod/Invoersaldo (PJ)","Energieaanbod/Bunkering (PJ)","Totaal energieverbruik (PJ)"
"Aardgas","1961","    13.0","       .","       .","       .","","    13.0"
"Aardgas","1962","    17.0","       .","       .","       .","","    17.0"
"Aardgas","1963","    20.0","       .","       .","       .","","    20.0"
"Aardgas","1964","    28.0","       .","       .","       .","","    27.0"
"Aardgas","1965","    55.0","       .","     1.0","    -1.0","","    54.0"
"Aardgas","1966","   108.0","       .","     5.0","    -5.0","","   103.0"
"Aardgas","1967","   225.0","       .","    43.0","   -43.0","","   182.0"
"Aardgas","1968","   450.0","       .","   144.0","  -144.0","","   306.0"
"Aardgas","1969","   697.0","       .","   246.0","  -246.0","","   451.0"
"Aardgas","1970","  1005.0","       .","   370.0","  -370.0","","   635.0"
"Aardgas","1971","  1389.0","       .","   559.0","  -559.0","","   830.0"
"Aardgas","1972","  1852.0","       .","   772.0","  -772.0","","  1080.0"
"Aardgas","1973","  2252.0","       .","  1051.0"," -1051.0","","  1201.0"
"Aardgas","1974","  2670.0","       .","  1392.0"," -1392.0","","  1278.0"
"Aardgas","1975","  2892.0","       .","  1560.0"," -1560.0","","  1333.0"
"Aardgas","1976","  3090.0","       .","  1706.0"," -1706.0","","  1384.0"
"Aardgas","1977","  3100.0","     9.0","  1719.0"," -1710.0","","  1389.0"
"Aardgas","1978","  2838.0","    56.0","  1500.0"," -1444.0","","  1392.0"
"Aardgas","1979","  2976.0","    65.0","  1656.0"," -1591.0","","  1386.0"
"Aardgas","1980","  2878.0","   120.0","  1731.0"," -1611.0","","  1267.0"
"Aardgas","1981","  2672.0","   106.0","  1572.0"," -1466.0","","  1206.0"
"Aardgas","1982","  2285.0","   107.0","  1240.0"," -1133.0","","  1152.0"
"Aardgas","1983","  2433.0","   101.0","  1302.0"," -1201.0","","  1232.0"
"Aardgas","1984","  2463.0","   108.0","  1263.0"," -1155.0","","  1309.0"
"Aardgas","1985","  2579.0","    66.0","  1267.0"," -1201.0","","  1380.0"
